detected_record_id,product_id,protein,anatomical_material,preparation_state,source_id,source_compound_group,normalized_compound_group,compound_name,cas,ri_observed_db_wax,identification_method,authentic_standard_confirmed,numeric_match_factor,source_match_quality_floor_pct,mr09_identification_status,pentane_source_value,pentane_mean_pct,ethyl_ether_source_value,ethyl_ether_mean_pct,dcm_source_value,dcm_mean_pct,methanol_source_value,methanol_mean_pct,quantified_in_any_solvent,metric,notes
BDF-074,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,"2,3-Dihydroxythiophene",,1106,RI/MS,no,,,partial_no_numeric_match_factor,0.03±0.01c,0.03,0.01±0.01c,0.01,0.07±0.02b,0.07,2.53±0.41a,2.53,yes,relative peak area (%) by SAFE extraction solvent,
BDF-075,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,Diethyl disulfide,,1213,RI/MS,no,,,partial_no_numeric_match_factor,0.32±0.07a,0.32,0.04±0.02b,0.04,0.06±0.02b,0.06,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-076,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,2-Propylthiophene,,1251,RI/MS,no,,,partial_no_numeric_match_factor,0.17±0.04b,0.17,0.30±0.13a,0.3,0.39±0.13a,0.39,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-077,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,Thiazole,,1260,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.19±0.04a,0.19,0.02±0.01c,0.02,0.10±0.03b,0.1,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-078,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,4-Methylthiazole,,1279,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.07±0.02b,0.07,0.06±0.03b,0.06,0.22±0.07a,0.22,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-079,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,4-Methyl-5-thiazoleethanol,,2274,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.13±0.03b,0.13,0.03±0.01c,0.03,0.12±0.04b,0.12,0.44±0.07a,0.44,yes,relative peak area (%) by SAFE extraction solvent,
BDF-080,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Sulfur compounds,Sulfur compounds,1-Dodecanethiol,,2311,RI/MS,no,,,partial_no_numeric_match_factor,0.12±0.03a,0.12,0.13±0.05a,0.13,0.03±0.01b,0.03,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-081,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,Methylpyrazine,,1264,RI/MS,no,,,partial_no_numeric_match_factor,0.55±0.13a,0.55,0.49±0.21a,0.49,0.57±0.19b,0.57,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-082,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,"2,5-Dimethylpyrazine",,1323,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,2.74±0.63a,2.74,2.77±1.20a,2.77,2.80±0.93a,2.8,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-083,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,"2,3-Dimethylpyrazine",,1346,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.28±0.07b,0.28,0.23±0.10b,0.23,0.47±0.16a,0.47,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-084,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,2-Ethyl-6-methylpyrazine,,1390,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.93±0.19a,0.93,0.27±0.06c,0.27,0.43±0.09b,0.43,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-085,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,Trimethylpyrazine,,1407,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,1.22±0.25a,1.22,0.72±0.15b,0.72,1.53±0.32a,1.53,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-086,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,"3-Ethyl-2,5-dimethylpyrazine",,1447,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,3.64±0.75b,3.64,5.87±1.19a,5.87,5.46±1.14a,5.46,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-087,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,2-Acetyl-3-methylpyrazine,,1625,RI/MS,no,,,partial_no_numeric_match_factor,0.25±0.05b,0.25,0.20±0.04b,0.2,0.35±0.07a,0.35,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-088,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Nitrogen heterocycles,Nitrogen heterocycles,Indole,,2412,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.03±0.01a,0.03,0.05±0.01a,0.05,0.07±0.02a,0.07,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-089,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Oxygen heterocycles,Oxygen heterocycles,"2,5-Dimethylfuran",,931,RI/MS,no,,,partial_no_numeric_match_factor,-,,-,,-,,0.02±0.11,0.02,yes,relative peak area (%) by SAFE extraction solvent,
BDF-090,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Oxygen heterocycles,Oxygen heterocycles,2-Pentylfuran,,1132,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.45±0.09b,0.45,0.82±0.17a,0.82,0.98±0.21a,0.98,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-091,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Oxygen heterocycles,Oxygen heterocycles,Furfural,,1463,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,-,,-,,-,,-,,no,relative peak area (%) by SAFE extraction solvent,source-identified row retained even when all four quantitative cells are not detected (furfural row)
BDF-092,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Oxygen heterocycles,Oxygen heterocycles,Furfuryl alcohol,,1670,RI/MS,no,,,partial_no_numeric_match_factor,0.05±0.01a,0.05,0.07±0.02a,0.07,0.06±0.02a,0.06,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-093,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Oxygen heterocycles,Oxygen heterocycles,"2,5-Dimethyl-4-hydroxy-3(2H)-furanone",,2036,RI/MS,no,,,partial_no_numeric_match_factor,0.40±0.10b,0.4,0.90±0.25a,0.9,1.07±0.39a,1.07,-,,yes,relative peak area (%) by SAFE extraction solvent,
BDF-094,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Others,Phenols,Phenol,,1972,RI/MS,no,,,partial_no_numeric_match_factor,0.08±0.02b,0.08,0.04±0.01c,0.04,0.22±0.08a,0.22,0.09±0.04b,0.09,yes,relative peak area (%) by SAFE extraction solvent,
BDF-095,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Others,Phenols,p-Cresol,,2080,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,0.11±0.03c,0.11,0.49±0.14b,0.49,0.62±0.22a,0.62,0.31±0.07b,0.31,yes,relative peak area (%) by SAFE extraction solvent,
BDF-096,beef:fat,beef,abdominal subcutaneous fat,dry-rendered at 130±5°C for 20 min,SRC-BEEF-FAT-001,Others,Phenols,3-Methylphenol,,2129,RI/MS/S,yes,,,partial_no_numeric_match_factor_standard_confirmed,-,,-,,-,,0.14±0.05,0.14,yes,relative peak area (%) by SAFE extraction solvent,
