Product,Product Category,Product Group,Concentration_sq_Sum,TPSA_weighted_Sum,InactiveAidCount_weighted_Sum,HydrogenBondDonorCount_weighted_Sum,TautomerCount_weighted_Sum,BondChiralCount_weighted_Sum,ActiveAidCount_weighted_Sum,IsotopeAtomCount_weighted_Sum,HydrogenBondAcceptorCount_weighted_Sum,XLogP_weighted_Sum,BondChiralUndefCount_weighted_Sum,TotalAidCount_weighted_Sum,MolecularWeight_weighted_Sum,BondChiralDefCount_weighted_Sum,TotalFormalCharge_weighted_Sum,Complexity_weighted_Sum,AtomChiralDefCount_weighted_Sum,AtomChiralUndefCount_weighted_Sum,AtomChiralCount_weighted_Sum,RotatableBondCount_weighted_Sum,CovalentUnitCount_weighted_Sum,HeavyAtomCount_weighted_Sum,Final_Count,Initial_Count,Inclusion_Rate
RAMBUTAN (Nephelium lappaceum L.),,Fruits,1.91318,86.8765,273.428,2.273,4.203,1.324,12.69,0,4.828,4.2865,0.024,345.458,336.68755,1.3,0,336.4816,0,0.285,0.285,4.909,2.346,24.701,15,138,0.1086956522
RED CURRANTS (Ribes rubrum L.),,Fruits,1.460667,31.095,112.8,1.477,1.609,1.324,0.856,0,1.553,2.3099,0.004,121.662,157.502754,1.32,0,74.2919,0,0.023,0.023,4.678,1.575,11.009,31,38,0.8157894737
SAPODILLA FRUIT (Achras sapota L.),,Fruits,0.000002280207,0.0695224,0.725181,0.000741,0.004717,0.00024,0.013363,0,0.004467,0.0093551,0,0.82707,0.506072377,0.00024,0,0.3314265,0,0.00016,0.00016,0.00846,0.004307,0.036979,43,53,0.8113207547
SPINELESS MONKEY ORANGE (Strychnos madagasc.),,Fruits,56141.39,19279.15,20150.1,30,745.5,40,552,0,1441,1788.21,25,22557.3,105911.3222,15,0,69668.18,0,61.2,61.2,4095.8,725.5,7356,47,50,0.94
STARFRUIT (Averrhoa carambola L.),,Fruits,5.1075,200.55,426.15,1.8,8.95,2.75,7.1,0,13.55,12.7,0.7,470.1,918.0563,2.05,0,697.285,0,0.75,0.75,22.35,7.45,65.5,13,326,0.03987730061
TAMARIND (Tamarindus indica L.),,Fruits,4185.975875,2643.9135,15364.565,8.315,129.935,2.88,357.42,0,174.495,68.2995,0.12,16591.67,9560.90215,2.76,0,6622.302,0,0.715,0.715,124.73,98.115,691.08,47,150,0.3133333333
WOOD APPLE (Feronia limonia),,Fruits,786.1506,2048.659,5977.91,28.39,92.92,1.99,212.6,0,131.01,65.113,0.29,7348.69,7149.24335,1.7,0,4123.73,0.85,8.29,9.14,192.36,71.96,491.58,22,25,0.88
APPLE FRESH (Elstar),APPLE FRESH (Malus species),Fruits,80.00886179,455.39942,2860.8475,7.6083,18.3641,0.0963,62.8558,0,30.0932,29.62047,0.0041,3182.8134,1983.636632,0.0922,0,998.0466,0,0.2505,0.2505,69.3044,18.2659,136.3037,18,35,0.5142857143
APPLE FRESH (generic),APPLE FRESH (Malus species),Fruits,57352.45112,3893.180141,16828.93131,377.990004,367.3450245,2.205001,1185.206933,0,433.1850385,6.710939,1.55,26429.94979,18079.66576,0.655001,0,5900.899392,0,45.744805,45.744805,485.711553,365.279021,1199.828955,81,333,0.2432432432
APPLE PROCESSED (juice),APPLE PROCESSED (Malus species),Fruits,4398.430191,8114.359393,24627.73649,254.8383085,346.3353985,15.1106515,551.7421955,0,467.435022,325.8459835,11.9057505,32608.59301,29218.80042,3.204901,0,17312.68698,0,82.5468095,82.5468095,976.9576285,227.2750835,2014.290622,122,210,0.580952381
BLACK CURRANTS - BERRIES,BLACK CURRANTS (Ribes nigrum L.),Fruits,11790.13477,13121.28024,115366.8595,476.771501,1679.923501,154.7155,9000.299001,0,687.685502,278.2314508,0.1855,150574.2325,33859.42632,154.53,0,36844.23156,0.08,10.171,10.251,377.025001,210.503501,2448.310506,63,156,0.4038461538
CASHEW APPLE (fresh),CASHEW APPLE (Anacardium occidentale),Fruits,0.36210225,18.93715,26.5185,0.0421,0.7222,0.019,0.3024,0,1.4262,2.09347,0.0154,30.7474,130.9676015,0.0036,0,106.84226,0.0004,0.0004,0.0008,3.9819,0.7177,9.5173,46,142,0.323943662
SOUR CHERRY (Prunus cerasus L.),CHERRY,Fruits,28935.1802,10123.04774,64270.44675,402.364009,559.097205,27.148401,2837.303025,0,526.4592115,104.52709,16.525,348418.488,23538.01249,10.623401,0,16894.30101,0.000002,47.800502,47.800504,151.6895045,273.5177035,1633.914535,39,110,0.3545454545
SWEET CHERRY (Prunus avium L.),CHERRY,Fruits,543.1185109,3704.011621,6074.058019,136.260509,201.662056,24.1066,648.207531,0,198.619061,23.328559,15,8692.101897,8371.664599,9.1066,0,9606.596817,0.000002,42.250002,42.250004,87.684253,47.608553,595.531529,15,63,0.2380952381
CHINESE QUINCE FLESH,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,3.6964,125.8160342,884.820108,4.73,5.640007,1.84,7.75,0,6.680002,5.9870043,0.04,983.160112,489.7589844,1.8,0,224.2572954,0,0.360001,0.360001,12.590003,5.220002,33.780019,36,39,0.9230769231
CHINESE QUINCE PEEL,CHINESE QUINCE (Pseudocydonia sinensis Schneid),Fruits,3.1871,213.2510355,702.02,1.91,9.000002,1.06,66.79,0,14.650003,19.4000054,0.74,951.28,1349.414849,0.32,0,1011.102361,0.060002,0.1,0.160002,55.820005,7.690002,95.060024,52,77,0.6753246753
BERGAMOT OIL (Citrus aurantium bergamia),CITRUS FRUITS,Fruits,228834300000,9363690.001,141944500,96000.00004,783400.0001,13500.00001,1765400,0,660600.0001,2568670,6200.000009,149914400,125396948.8,7300.000005,0,147507280,0.000017,773500,773500.0001,2479300,783400.0001,9059200.001,66,114,0.5789473684
MANDARIN OIL (Citrus reticulata),CITRUS FRUITS,Fruits,15635566096350,2596528.8,777420486,85331.50001,4920168.5,11175.00001,9504254.5,0,154596.5,16443053.85,2000.000005,788756954,665046985.1,9175.000003,0,790490194,66153.50001,4738930,4805083.5,5134343,4857693.5,48784546.5,112,234,0.4786324786
MICROCITRUS SPECIES OIL,CITRUS FRUITS,Fruits,109698875000,7481375,102020250,164000,905250,66500,1354000,0,667250,2178575,11500,110985000,172521297.3,55000,0,198220450,604000,571250,1175250,1088500,972000,11491750,44,110,0.4
ELDERBERRY FRUIT,ELDERBERRY (Sambucus nigra L.),Fruits,8911.52,4518.44,7275.5,12.4,185.6,346.7,44,0,334.2,1121.38,196.7,7623.2,49772.9841,150,0,47666.42,0,0,0,2442.4,177.4,3561.5,11,37,0.2972972973
ELDERBERRY JUICE,ELDERBERRY (Sambucus nigra L.),Fruits,30.41,517.22,2216.2,5.1,25.1,15,29.1,0,35.1,104.14,12,2493.4,4717.5084,3,0,3882.7,0,1,1,206.2,22.1,337.9,19,114,0.1666666667
OTHER VITIS SPECIES,GRAPE (Vitis species),Fruits,673.287105,838.3612,6482.182,5.153,35.753,0.251,88.635,0,60.542,22.5687,0.063,15718.81,2853.765761,0.188,0,1517.9097,0,0.479,0.479,58.881,34.351,194.516,38,149,0.255033557
VITIS LABRUSCA L.,GRAPE (Vitis species),Fruits,22.56143594,571.29304,3693.0915,13.345,23.5658,15.46,209.0555,0,32.4466,63.24217,4.4,4286.523,3185.768362,11.06,0,2785.67952,0.43,1.2513,1.6813,135.5902,15.4358,226.4497,53,185,0.2864864865
VITIS VINIFERA L.,GRAPE (Vitis species),Fruits,72.25884197,1052.859462,6911.540514,17.279701,47.103251,7.88495,57.833011,0,69.495002,105.6648169,6.58995,8459.553722,6221.822172,1.295,0,4758.791304,0,4.35655,4.35655,200.492751,42.008251,440.762509,89,356,0.25
MANGO (canned juice) (Mangifera indica L.),MANGIFERA SPECIES,Fruits,5.718096,45.7125,662.113,0.915,5.284,0.185,9.09,0,2.85,13.1867,0.035,687.154,655.119371,0.15,0,697.795,0,3.705,3.705,9.115,4.874,47.525,40,88,0.4545454545
MANGO (fresh pulp) (Mangifera indica L.),MANGIFERA SPECIES,Fruits,4732.910662,2624.799647,11119.42164,55.0690035,238.964376,49.5565015,512.827183,0,161.5984665,604.415412,30.0995005,15381.86956,30622.13287,19.457001,0,33297.08083,25.636,208.4160015,234.0520015,513.462351,200.7865685,2200.411952,210,441,0.4761904762
BLACK OLIVE,OLIVE (Olea europaea),Fruits,62.99303223,280.51859,1704.2311,11.516,12.2853,0.015,57.75545,0,14.5776,1.76346,0,14128.95005,697.3790946,0.015,0,161.27858,0,0.018,0.018,5.2794,12.1433,46.2846,20,25,0.8
OLIVE OIL,OLIVE (Olea europaea),Fruits,17979010.69,3614.018507,16179.21462,120.75845,4664.475452,17011.9265,595.2871,0,196.226401,49301.45362,16962.155,21696.50693,1754752.251,49.7715005,0,2460108.147,0,0.56,0.56,63895.97516,4347.935451,128148.172,129,363,0.3553719008
"BARTLETT PEAR (Williams pear, Bon Chretien)",PEAR (Pyrus communis L.),Fruits,0.059905,19.0972119,108.462187,0.116003,0.959006,0.272,1.645013,0,1.380018,1.7259089,0.108,117.501284,103.3848906,0.164,0,72.407068,0,0.08,0.08,3.47302,0.781002,7.163045,22,85,0.2588235294
"PEAR, OTHER TYPES",PEAR (Pyrus communis L.),Fruits,119.779767,622.1395,3601.806,1.63,47.015,0.228,150.491,0,42.4,34.3663,0.188,4048.166,2755.093662,0.04,0,1478.9569,0,0.56,0.56,83.951,28.695,190.355,31,61,0.5081967213
JAPANESE PLUM (Prunus salicina Lindl cultivars),PLUM (Prunus species),Fruits,0.00329817,4.222325,28.04035,0.052,0.29265,0.06525,0.46,0,0.2687,0.52362,0.0373,30.2504,28.4879243,0.02795,0,19.069,0,0.0284,0.0284,1.0148,0.2117,2.0156,29,75,0.3866666667
PLUM (fresh) (Prunus domestica cultivars),PLUM (Prunus species),Fruits,19.058232,386.758,4048.38,12.27,69.25,4,424.33,0,21.52,14.28,0,5243.71,1209.1535,4,0,1253.105,2.36,0.4,2.76,23.63,6.76,86.41,11,233,0.04721030043
PLUM JUICE (Prunus domestica cultivars),PLUM (Prunus species),Fruits,38.78,345.6100526,4366.90022,11.1,16.000002,2.5,33.600005,0,19.400004,23.520006,0.1,4747.600228,1592.981136,2.4,0,777.880247,0,0.7,0.7,47.200012,15.200002,111.300024,16,19,0.8421052632
PLUMCOT (Prunus armenica x Prunus salicina),PLUM (Prunus species),Fruits,0.16906925,32.7041,207.8105,0.4095,2.44,0.458,3.2995,0,2.021,3.1912,0.0955,243.0415,193.092097,0.3625,0,148.79545,0,0.194,0.194,5.0935,1.5155,13.844,55,91,0.6043956044
PRUNE (dried plum),PLUM (Prunus species),Fruits,56644,11995.2,41412,238,238,0,0,0,714,-142.8,0,44268,30014.18,0,0,24514,0,0,0,476,238,2142,1,52,0.01923076923
PRUNUS MUME SIEB. et ZUCC. (salted and pickled),PLUM (Prunus species),Fruits,7879.8652,3740.647,32946.22,63,184.03,2.16,1030.84,0,213.75,385.111,1.61,42596.72,21615.04803,0.55,0,14840.761,0.12,0.75,0.87,576.3,158.64,1571.84,75,92,0.8152173913
PRUNUS SIMONII,PLUM (Prunus species),Fruits,5.47625611,98.44543,489.04,0.449,4.0957,0.1643,10.5531,0,7.1857,8.80194,0.0829,521.9463,521.7636443,0.0814,0,309.99044,0,0.0426,0.0426,20.6792,3.9217,36.1651,29,36,0.8055555556
RASPBERRY (Rubus idaeus L.),"RASPBERRY, BLACKBERRY and BOYSENBERRY",Fruits,5863.213802,4609.922261,25512.47398,145.3592175,291.2420405,8.5825045,1014.30696,0,254.883746,67.7183066,0.910002,140854.0723,13911.43889,7.6725025,0,7856.854955,6.495,16.64101,23.13601,184.7461875,188.078929,951.73796,127,213,0.5962441315
STRAWBERRY FRUIT,STRAWBERRY (Fragaria species),Fruits,3631.408114,5930.726391,24172.6255,130.711508,321.817017,16.123003,799.756522,0,352.2565215,175.0242206,5.195001,70296.81032,18292.68892,10.928002,0,13682.30815,12.0985,33.5715055,45.6700055,309.9070355,189.895513,1270.913116,147,309,0.4757281553
STRAWBERRY JAM,STRAWBERRY (Fragaria species),Fruits,2628489.043,114347.835,840529.9,2753.75,5683.55,696.4,14086.2,0,6727.55,6191.145,29.9,909499.15,451171.9281,666.5,0,428930.7,0,2427.35,2427.35,10060.9,3460.95,31614.85,16,98,0.1632653061
AMERICAN CRANBERRY (Vaccinium macrocarpon Ait.),VACCINIUM SPECIES,Fruits,12.11022265,321.1694613,3203.896907,8.405006,13.086532,0.420001,64.8750415,0,18.0580115,18.82441625,0.14,5294.147325,1313.380665,0.280001,0,941.2203071,0,1.2950015,1.2950015,22.775515,11.43651,94.549079,75,133,0.5639097744
BILBERRY (Vaccinium myrtillus L.),VACCINIUM SPECIES,Fruits,0.1833836895,46.19580815,202.5691965,1.036709,2.299068,0.315204,6.411928,0,2.666618,4.48860625,0.046502,264.4964385,253.2833471,0.268702,0,188.3976715,0.012,0.469255,0.481255,6.790628,1.9313625,18.024961,119,150,0.7933333333
BOG BLUEBERRY (Vaccinium uliginosum L.),VACCINIUM SPECIES,Fruits,1.233381288,50.8942951,113.3938475,1.5425105,1.7475255,0.1100015,9.2226215,0,2.7075165,0.5175289,0.000001,229.194419,112.8428985,0.1100005,0,59.60170495,0,0.020002,0.020002,0.935039,1.5725135,7.657621,27,28,0.9642857143
EUROPEAN CRANBERRY (Vaccinium oxycoccus L.),VACCINIUM SPECIES,Fruits,34.5851,375.5695417,3360.152979,13.180012,14.53006,0.250001,62.790049,0,19.750033,13.104039,0.000001,4495.153579,1355.690578,0.25,0,815.9165543,0,2.970005,2.970005,16.660043,13.270022,96.880215,57,67,0.8507462687
HIGH-BUSH BLUEBERRY (Vaccinium corymbosum L.),VACCINIUM SPECIES,Fruits,0.691675085,59.27220725,316.129927,1.939012,2.504033,0.790005,8.0680665,0,3.1490255,2.7537487,0.2900035,413.0876935,221.8162564,0.5000015,0,146.4835081,0,0.183005,0.183005,4.865061,2.18902,15.5551945,42,54,0.7777777778
"LINGONBERRY, COWBERRY (Vaccinium vitis idaea L.)",VACCINIUM SPECIES,Fruits,9.384593,168.0627,2146.466,4.612,6.079,0.112,8.631,0,9.295,7.151,0.006,2441.411,596.814894,0.106,0,399.4325,0,3.285,3.285,10.246,5.643,41.952,42,100,0.42
TRUFFLE,,Fungi,554052.42,22817.24,138937.1,1049.2,1057.2,0,4262.4,0,1057.2,282.22,0,1282399.5,62465.395,0,0,10340.49,0,2.5,2.5,647.5,1057.2,4162.1,10,50,0.2
AGARICUS (= Psalliota) varieties,MUSHROOM,Fungi,3001.9721,1431.041058,3888.660033,57.910002,83.180005,4.750002,56.09,0,73.200003,179.5050051,4.75,4308.430036,9191.689209,0.000002,0,5126.196243,0,54.900001,54.900001,333.44001,73.150003,649.820024,13,63,0.2063492063
BOLETUS EDULIS (dried),MUSHROOM,Fungi,458680.2503,44669.364,101030.25,1624.11,1082.64,0,4235.6,0,1914.03,-425.482,0,174779.88,86960.06627,0,0,22123.865,0,0.7,0.7,2253.45,1080.13,5911.14,35,90,0.3888888889
"MUSHROOM, OTHER VARIETIES",MUSHROOM,Fungi,697.4362653,1604.798826,2913.030025,10.3575,124.079501,15.911,59.5475,0,107.020502,212.4211574,14.555,3570.89753,10520.6593,1.356,-0.03,7096.090428,0,9.8,9.8,411.358514,74.165501,738.126018,33,302,0.1092715232
SHIITAKE (Lentinus edodes Sing.),MUSHROOM,Fungi,15777.26,7768.84,11721.4,125.1,240,7.5,90.2,0,336.5,469.43,7.5,12587.2,26388.3204,0,0,10283.86,0,113,113,816.7,214,1595.4,8,81,0.0987654321
GUINEA HEN,,Meat & Poultry,31.177707,189.9159,698.487,0.901,22.846,2.298,26.534,0,10.951,28.6676,0.829,855.402,1357.573239,1.469,0,681.4353,0,0.435,0.435,57.652,11.355,95.394,91,96,0.9479166667
"BEEF (boiled, cooked)",BEEF,Meat & Poultry,8.47209981,117.55439,693.0894,1.043,11.8469,0.533,9.545,0,6.7243,13.83,0.265,775.8072,725.3356771,0.268,0,333.00997,0,0.25,0.25,28.4155,6.5999,50.8399,32,488,0.06557377049
"BEEF (grilled, roasted)",BEEF,Meat & Poultry,0.484777765,61.862445,107.9365,0.37,5.8786,0.56,1.632,0,3.4879,2.704985,0.06,117.3894,256.0653717,0.5,0,188.2052,0,0.122,0.122,3.0672,2.4059,18.00275,42,340,0.1235294118
CHICKEN (cooked),CHICKEN,Meat & Poultry,7328.471173,4105.490322,19107.72618,107.2592,154.704602,12.8331,1066.97365,0,220.692302,674.7200953,2.2317,28647.26439,28057.3319,10.6014,0,19074.65105,0,1.9539,1.9539,1448.687353,125.197201,1974.475756,75,189,0.3968253968
CHICKEN (fried),CHICKEN,Meat & Poultry,0.0404,0.22,0,0.22,0.22,0,0.8,0,0.22,-0.13,0,2.2,4.36834,0,0,0.04,0,0,0,0,0.22,0.24,2,152,0.01315789474
CHICKEN (roasted),CHICKEN,Meat & Poultry,405.2537423,541.6414233,481.502466,1.115015,61.710628,3.406012,13.255519,0,31.549575,196.9027073,2.646004,593.38236,6938.995582,0.760008,0,4169.882026,0.000001,0.571004,0.571005,387.396138,31.49656,490.636988,177,186,0.9516129032
CHICKEN FAT,CHICKEN,Meat & Poultry,24.873,277.666,1773.96,0,31.84,3.46,73.15,0,16.25,19.97,0,2070.68,1447.5145,3.46,0,816.748,0,0,0,50.2,14.16,101.71,15,206,0.07281553398
LAMB (roasted),LAMB and MUTTON,Meat & Poultry,9.2515,281.522,2347.76,7.44,7.49,0.13,30.21,0,15.08,20.46,0.08,2535.99,1053.01357,0.05,0,687.723,0,1.54,1.54,40.09,7.49,72.86,26,28,0.9285714286
LAMB and MUTTON FAT (heated),LAMB and MUTTON,Meat & Poultry,3036.138488,3061.498564,4916.190375,28.8950015,781.8950125,4.0100005,102.9800015,0,174.6900035,226.6095247,1.9100005,5519.060395,14397.30788,2.1,0,11418.98846,0.300001,20.5400005,20.8400015,544.595041,95.9450045,1010.50506,47,109,0.4311926606
MUTTON (boiled),LAMB and MUTTON,Meat & Poultry,78.5573,820.973,6179.98,22.01,22.01,0.66,83.21,0,44.02,63.343,0.66,6733.37,3147.37615,0,0,1997.803,0,2.07,2.07,126.89,22.01,218.29,18,133,0.1353383459
MUTTON (cooked),LAMB and MUTTON,Meat & Poultry,41.2731,409.927,3920.57,10.99,10.99,0.14,42.05,0,21.98,38.507,0.14,4171.62,1751.80041,0,0,1125.328,0,1.02,1.02,76.18,10.99,121.82,22,24,0.9166666667
MUTTON (raw),LAMB and MUTTON,Meat & Poultry,45.7931,814.259,4747.77,21.83,21.83,0.69,68.96,0,43.66,49.654,0.69,5178.77,2829.74397,0,0,1832.394,0,6.98,6.98,98.1,21.83,195.7,20,21,0.9523809524
"PORK, CURED (boiled, cooked)",PORK,Meat & Poultry,9135.52838,3882.654976,1511.813062,0,144.3869015,0,2.7352025,0,173.1781015,893.0152305,0,1720.371472,31711.55605,0,0,23312.62724,0,0,0,1668.57211,144.2129015,2263.715018,18,166,0.1084337349
"PORK, CURED (fried)",PORK,Meat & Poultry,2157,4123.000048,961.000222,0,109.000002,0,2.000003,0,207.000002,381.9000044,0,981.000234,16651.71024,0,0,11257.0002,0,0,0,679.000006,109.000002,1168.000018,11,147,0.07482993197
"PORK, CURED (raw)",PORK,Meat & Poultry,43.43587625,141.465562,264.993673,1.100001,14.989001,0,6.742502,0,8.270501,12.0491006,0,386.838185,750.6366826,0,0,288.3377111,0,0,0,27.372002,8.318501,52.227505,10,118,0.08474576271
"PORK, CURED (smoked)",PORK,Meat & Poultry,51.7243,325.4985,852.095,9.22,21.91,0,38.325,0,24.27,11.14,0,1138.33,1329.062945,0,0,882.69,0,0,0,15.05,9.22,95.315,6,48,0.125
"PORK, UNCURED (boiled, cooked)",PORK,Meat & Poultry,0.0001058098905,0.4177993,2.6153455,0.008755,0.028816,0,0.05183,0,0.022727,0.0473049,0,2.904419,2.546026318,0,0,1.37376145,0,0.007705,0.007705,0.08328,0.021696,0.1811225,17,108,0.1574074074
"PORK, UNCURED (fried and seasoned)",PORK,Meat & Poultry,479.6075,1497.69,1034.6,0,85.6,0,1.2,0,116.1,50.75,0,1176.9,6797.56635,0,0,4448.5,0,0,0,30.2,58.05,501.6,14,16,0.875
"PORK, UNCURED (grilled, roasted)",PORK,Meat & Poultry,0.001294365243,2.517552,4.3094605,0.005175,0.1365245,0,0.0581555,0,0.186674,0.121047,0,4.7654975,12.25159572,0,0,7.88906895,0,0.0039305,0.0039305,0.1097525,0.1039185,0.896613,54,66,0.8181818182
"PORK, UNCURED (raw)",PORK,Meat & Poultry,0.00207325,0.9875,16.934,0.0625,0.0625,0,0.321,0,0,0.15075,0,18.155,7.868764,0,0,7.1315,0,0,0,0,0.0625,0.6015,2,25,0.08
"PORK, UNCURED (smoked)",PORK,Meat & Poultry,10337.6496,9233.188,55567.5,230.84,927.38,1,537.28,0,654.14,267.69,1,60079.1,35565.21724,0,0,29242.154,0,10,10,392.6,240.84,2554.18,15,26,0.5769230769
TURKEY (roasted),TURKEY,Meat & Poultry,1.991525,30.6795,66.81,0,4.94,0,1.495,0,1.795,2.8495,0,91.275,169.73454,0,0,80.1355,0,0,0,6.635,1.645,11.87,3,80,0.0375
HOP OIL,,Miscellaneous,3297616224,6453994.58,12335995.51,96953.585,389625.985,115715,159424.33,0,441529.945,966137.4645,102810.5,13286596.24,51201512.67,12904.5,-3655,46964154.61,16167.5,179932.295,196099.795,1474994.29,319547.485,3597394.26,137,429,0.3193473193
POTATO CHIPS (American),,Miscellaneous,194.3848,926.159,1155.65,0.38,66.93,7.285,136.21,0,67.63,44.412,0.195,1484.145,4545.45995,7.09,0,2993.849,0,0.08,0.08,49.905,39.44,333.445,62,137,0.4525547445
ANNATTO oil-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,61607.83418,2268.3635,57063.87,45.87,501.365,70,1174.59,0,125.96,1119.617,9.45,64122.94,45555.91979,60.55,0,29421.737,0,9.665,9.665,194.235,410.535,3370.525,25,39,0.641025641
ANNATTO water-soluble extract,ANNATTO (Bixa orellana L.),Miscellaneous,1427.963791,385.39765,2906.17,6.1705,94.0085,73.733,42.835,0,22.431,191.75825,0.133,3318.245,10154.47122,73.6,0,13066.2307,0,6.1305,6.1305,41.151,58.854,739.763,20,32,0.625
EGG (boiled),EGG,Miscellaneous,64.00695651,10.712035,21.70275,8.10065,8.26082,0.00035,33.19425,0,8.0707,-5.03253,0,114.90603,162.4111147,0.00035,0,16.73568,0,0.0004,0.0004,0.38824,8.22477,9.9161,57,168,0.3392857143
EGG (raw),EGG,Miscellaneous,2820.102536,3397.576076,11942.20017,121.906,64.256002,0,101.850003,0,184.006003,-44.3869973,0,19606.55019,5440.153498,0,0,3563.342009,0,53.2,53.2,67.250001,64.256002,362.112007,7,8,0.875
EGG (scrambled),EGG,Miscellaneous,72.269666,11.9012,15.3,8.507,8.934,0,35.933,0,8.705,-5.6069,0,112.345,167.307831,0,0,9.6357,0,0.001,0.001,0.49,8.736,9.994,12,39,0.3076923077
ASSA-PEIXE HONEY (Vernonia ferruginea Less.),HONEY,Miscellaneous,10.24,161.28,556.8,3.2,3.2,0,0,0,9.6,-1.92,0,595.2,403.552,0,0,329.6,0,0,0,6.4,3.2,28.8,1,13,0.07692307692
DANDELION HONEY (Taraxacum officinale Web.),HONEY,Miscellaneous,892.78917,3230.6493,21473.577,101.95,174.906,9.55,810.583,0,175.053,57.7444,0,57291.25,9007.758764,9.55,0,7431.6319,0,1.5,1.5,108.047,76.686,646.099,29,41,0.7073170732
YELLOW BOX HONEY (Eucalyptus melliodora),HONEY,Miscellaneous,279.4975,1575.215,3100.65,55.65,66.9,0,188.45,0,86.75,29.74,0,4366.1,5321.56715,0,0,3156.6,23.5,21,44.5,110.05,44.35,371.15,26,56,0.4642857143
MASTIC (Pistacia lentiscus L.) AERIAL PARTS OIL,MASTIC (Pistacia lentiscus),Miscellaneous,104877137756,9278365,48057198,292950,1158508,168400,950760,0,550800,3312637.2,5800,56669458,169435836.6,162600,0,199274374,579872,959836,1539708,1411958,1079408,12212130,74,151,0.4900662252
MASTIC (Pistacia lentiscus L.) FRUIT OIL,MASTIC (Pistacia lentiscus),Miscellaneous,36012820000,8939425,50082050,130800,1622850,76200,845700,0,582550,2632465,26000,55898850,123150219.5,50200,0,130324040,91400,575200,666600,2648700,717100,8857100,78,137,0.5693430657
MASTIC (Pistacia lentiscus L.) GALL OIL,MASTIC (Pistacia lentiscus),Miscellaneous,7907000000,2860000,6232000,71000,432000,141000,79000,0,159000,799000,2000,7337000,42844555,139000,0,51259700,254000,76000,330000,386000,237000,3124000,28,55,0.5090909091
MASTIC (Pistacia lentiscus L.) GUM OIL,MASTIC (Pistacia lentiscus),Miscellaneous,9641034025,5636204.5,45833315,126840,814935,10500,850345,0,345950,1271036.5,6000,51943200,67001028.08,4500,0,77560410,76600,415675,492275,997490,410665,4852910,61,98,0.6224489796
MASTIC (Pistacia lentiscus L.) LEAF OIL,MASTIC (Pistacia lentiscus),Miscellaneous,224626222500,18930200,109517050,369500,1966550,651450,3744650,0,1249600,6493515,126200,126066800,313273119.5,525250,0,350999440,611600,1592250,2203850,6239850,1764900,22575850,118,214,0.5514018692
MASTIC (Pistacia lentiscus var. chia) GUM OIL,MASTIC (Pistacia lentiscus),Miscellaneous,254000000,145800,5518000,5000,28000,2000,40000,0,9000,76000,0,5793000,3425621,2000,0,3836200,0,22000,22000,41000,24000,250000,6,11,0.5454545455
MASTIC (Pistacia lentiscus var. chia) LEAF OIL,MASTIC (Pistacia lentiscus),Miscellaneous,42127000000,3737300,22300000,65000,419000,409000,793000,0,251000,1499000,4000,25394000,78744447,405000,0,95805800,410000,133000,543000,1000000,389000,5649000,32,66,0.4848484848
MASTIC (Pistacia lentiscus var. chia) TWIG OIL,MASTIC (Pistacia lentiscus),Miscellaneous,48094000000,2067700,13986000,58000,346000,434000,576000,0,149000,1307900,0,15852000,69913051,434000,0,88598100,396000,117000,513000,616000,342000,5014000,19,48,0.3958333333
PISTACHIO (Pistacia vera) FRUIT OIL,PISTACHIO OIL (Pistacia vera),Miscellaneous,98858000000,370800,17185000,11000,390000,1000,219000,0,22000,1110800,0,18959000,53539520,1000,0,69469000,24000,114000,138000,50000,390000,3924000,10,21,0.4761904762
PISTACHIO (Pistacia vera) GUM OIL,PISTACHIO OIL (Pistacia vera),Miscellaneous,1563050000,1767090,5200600,67200,145200,0,37100,0,95600,319860,0,5415500,19821224.3,0,0,27085840,70500,210900,281400,67000,120700,1440800,36,53,0.679245283
PISTACHIO (Pistacia vera) HULL OIL,PISTACHIO OIL (Pistacia vera),Miscellaneous,148068277500,2091210,21748400,51050,572900,9900,372900,0,129000,1628050,9400,24939950,79903801.8,500,0,100685150,32400,258350,290750,350000,556350,5828600,21,37,0.5675675676
PISTACHIO (Pistacia vera) LEAF OIL,PISTACHIO OIL (Pistacia vera),Miscellaneous,50201500000,4988150,45568500,113500,674000,59000,563000,0,309500,1945400,55000,49514000,95500298.5,4000,0,120395700,130000,720000,850000,739000,612000,6932500,29,49,0.5918367347
"Pistacia atlantica, BUD OIL",Pistacia atlantica,Miscellaneous,84311000000,1416600,4210500,63000,494000,225000,105000,0,74500,1673800,0,6147500,77545447.5,225000,0,99334700,166500,649500,816000,460500,494000,5659500,19,56,0.3392857143
"Pistacia atlantica, FRUIT OIL",Pistacia atlantica,Miscellaneous,57966750000,12879400,67489500,335500,919000,89000,498500,0,758500,2287000,0,77131000,123115070,89000,0,141287500,313500,829500,1143000,1486500,751500,8854000,36,83,0.4337349398
"Pistacia atlantica, LEAF OIL",Pistacia atlantica,Miscellaneous,87591750000,8331300,25376000,361500,683500,362000,318000,0,443000,2563750,3000,30163500,129537026.5,359000,0,159688750,847000,287000,1134000,1342000,685500,9344000,30,80,0.375
